iter	Passed	Remaining
0	81	161962
1	103	103782
2	125	83796
3	152	75924
4	179	71526
5	205	68432
6	233	66550
7	262	65374
8	285	63267
9	311	61921
10	341	61828
11	367	60949
12	394	60333
13	419	59547
14	445	58960
15	472	58587
16	498	58133
17	523	57596
18	552	57629
19	582	57618
20	606	57201
21	641	57632
22	668	57454
23	694	57156
24	722	57052
25	747	56740
26	773	56538
27	802	56535
28	857	58303
29	883	58005
30	910	57828
31	935	57515
32	961	57297
33	987	57088
34	1013	56875
35	1039	56726
36	1090	57837
37	1148	59297
38	1203	60512
39	1252	61353
40	1288	61563
41	1322	61665
42	1350	61465
43	1383	61517
44	1419	61687
45	1449	61551
46	1479	61485
47	1508	61336
48	1537	61228
49	1566	61081
50	1593	60898
51	1625	60883
52	1657	60896
53	1685	60750
54	1720	60852
55	1756	60961
56	1790	61044
57	1819	60934
58	1850	60870
59	1877	60713
60	1910	60739
61	1937	60567
62	1966	60461
63	1994	60325
64	2219	66075
65	2405	70480
66	2459	70951
67	2499	71019
68	2556	71531
69	2600	71710
70	2638	71696
71	2708	72523
72	2774	73232
73	2806	73041
74	2835	72789
75	2863	72490
76	2896	72327
77	2926	72111
78	2953	71809
79	2976	71426
80	3010	71317
81	3044	71216
82	3076	71060
83	3106	70861
84	3136	70659
85	3166	70471
86	3195	70260
87	3223	70037
88	3249	69781
89	3277	69557
90	3302	69274
91	3329	69048
92	3351	68726
93	3374	68417
94	3397	68119
95	3420	67835
96	3444	67572
97	3469	67343
98	3495	67116
99	3521	66900
100	3544	66640
101	3567	66385
102	3593	66185
103	3619	65989
104	3650	65877
105	3681	65771
106	3705	65550
107	3733	65397
108	3762	65278
109	3791	65136
110	3817	64963
111	3843	64784
112	3869	64612
113	3895	64448
114	3921	64285
115	3948	64131
116	3977	64021
117	4008	63935
118	4038	63829
119	4067	63717
120	4094	63576
121	4119	63412
122	4145	63253
123	4169	63080
124	4193	62907
125	4218	62745
126	4245	62618
127	4273	62505
128	4297	62324
129	4322	62177
130	4346	62007
131	4369	61838
132	4390	61628
133	4412	61451
134	4435	61273
135	4456	61077
136	4478	60895
137	4500	60718
138	4523	60560
139	4544	60382
140	4569	60245
